,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Age_08_04,-0.36790114822230924,0.34913382896105355,-0.09239914692629818,-0.018258982276295865,0.2894141987676123,-0.05578286105223841,0.06264251102089036,0.12074182968374826,0.027357398958002117,0.05747030302740352,-0.06329531527243211,-0.05725110195160798,-0.06156643347247572,0.025944177969301763
Mfg_Month,0.05239013615158716,-0.09647943718650831,0.08520034222075637,-0.07333763991740287,-0.18603920587497502,0.6824866961533824,0.5061030964272777,0.30682676467314784,0.3093999758284614,-0.09692605220058376,-0.08101090696272385,-0.02553371778431662,0.03339245195549842,0.04295675160943631
KM,-0.2337786989987247,0.37595901657639635,0.2955140968477091,-0.08862300045421992,0.19619423877149753,0.09865026288985752,-0.08352813128540482,0.18943767935866704,0.07042298689802551,0.0637805151095423,0.47550770642673124,-0.30544125261841615,-0.03818211820909221,0.40541794626770344
HP,0.20391027118299054,0.10517221748098385,-0.22488110514660345,0.3464974165961211,-0.04142671769607127,-0.3354559143568081,0.6179721765372169,-0.02118318632607951,-0.09224713283555791,0.19393719570257403,0.018970238192025774,-0.24301013296601576,-0.10574966280375045,0.16137561372984988
Met_Color,0.12124328558785531,0.031444199664300836,-0.061240737442071674,0.43424064635377263,0.2333025829261462,0.5165185410119038,-0.22865831950047294,0.04259524756357347,-0.45102494865503034,0.44215108223434624,-0.11318227042977748,0.005239304067687997,0.03850466382868516,-1.8309437459531914e-05
cc,0.14696844399351383,0.2710769484337479,0.5048923521079747,0.17777168653647576,-0.1731709268938662,-0.1444212342925086,0.2618259801388285,0.026795652694291162,-0.23019209618010955,0.050406016022548884,0.070472692095135,-0.04182055410543662,0.20915965243896217,-0.2349197012143845
Quarterly_Tax,0.18671142956379505,0.081550179136037,0.5902039791912393,0.05601931183563437,0.06226537245747995,-0.08869844490990035,-0.07169423327049393,0.02014615589302561,-0.028806964035290407,-0.1885415350589111,-0.3804704731600193,0.08609407961424277,-0.10068020572489016,0.05188163281123047
Mfr_Guarantee,0.112706566185027,-0.22063367745189602,-0.07595141161148508,0.38927183159064677,0.34614056632778784,-0.16696221604948194,-0.05990810796447453,0.6162508644639392,0.004530180415422121,-0.44179819813540205,0.1532846192580199,0.11836359399619176,0.08928415720027841,-0.026687536663068813
Airbag_2,0.21666878302802647,-0.31864359797182035,0.2257896218939302,-0.06708747327820241,0.3949445855789937,-0.048297652909453315,-0.021998841854239257,-0.019593424327613965,0.34444043267626573,0.31254146757933143,0.04850264989519196,-0.3776196022266794,-0.3612280950639121,-0.353152024863979
Airco,0.38145256426352214,0.16747449011528398,-0.006952754357946941,-0.05685247886700649,-0.045149591823687794,0.021398613999814596,0.0024493417608577226,-0.000667077114306845,0.12170914441497561,0.19880288513044722,0.5422656651047492,0.6102459532074185,-0.20572622473051239,-0.05805132906818017
Boardcomputer,0.32304025416762205,-0.3534085634834813,0.08992883555444457,0.058746733569612936,-0.21729749057709355,-0.02431832658763257,-0.21758094432920289,-0.11613368406403367,0.02337856111423674,0.010485621851216896,0.22109680921420055,-0.2951043156676772,0.2813272545861061,0.4916874579917558
Central_Lock,0.3758946448979274,0.3219539552537078,-0.18347314191367783,-0.14269620800877109,0.03543679429749032,0.11679265271905212,-0.10011452723779825,-0.04171584246275125,-0.10002639670228503,-0.29901807613643544,-0.029712227571557958,-0.24010045977483038,-0.08228353627036904,-0.08952791344812426
Powered_Windows,0.37742369004927395,0.3058373784780776,-0.21093659200686524,-0.14555479573819485,0.03854039010904927,0.120799305259458,-0.0922414308871395,-0.03994954471112237,-0.07299430231388589,-0.2880141607238177,-0.00588722920648122,-0.2542061540769275,-0.09227032534105793,-0.1064761040592032
Mistlamps,0.29876663963493716,0.22621046094198832,-0.09396885959868966,-0.21802023499073786,0.22814137743688684,-0.15870228295499794,-0.043739560477034485,0.20835222486515348,0.3374994760950835,0.3466333888783756,-0.3664109768802433,0.14334462669161127,0.46773911906722015,0.19450902435119732
Sport_Model,0.06016859629627901,-0.19535101595674145,0.09112510996624217,-0.2627804906837601,0.5864657754861353,0.09102151179848597,0.367451763574825,-0.3825973100279613,-0.29062439000437806,-0.19632178858321744,0.05743441158170321,0.1949599103908187,0.10078148228085061,0.22426662103357833
Tow_Bar,-0.05385943067687335,0.1974605332139131,0.005307231179698958,0.5469816970144745,0.1368797948422036,0.13310845633364812,-0.0505634281163685,-0.5130602730416556,0.5257628517844184,-0.20826299104634308,0.028488601820354287,0.049416261029311785,0.1707262163297514,-0.03198348992986636
Fuel_Type_Diesel,-0.0010074774311601047,0.03906467966517613,0.1886566594884035,-0.03585161306570178,-0.04305749643610332,0.0354065378658229,-0.07348109671217609,0.007507188293650788,-0.051769963761584374,-0.03602896254433232,0.007148373703964881,0.04346157252046477,0.08732153345037165,-0.09929720024957905
Fuel_Type_Petrol,0.0005010997867362851,-0.04624687679831812,-0.19949198182295402,0.028118533107951836,0.04522866014318573,-0.033771840018201695,0.07384469818472428,-0.010990300326032747,0.0519187593234606,0.03546048587276327,-0.010216045758910625,-0.0341972995171414,-0.07928081788201408,0.08258713172731007
Doors_3,-0.04259769948511932,-0.04132453379571566,-0.03766366105236879,-0.11629635247486356,0.06573039085515424,0.011981114423083129,0.0497611324355017,-0.02854031437554158,-0.0435497960773215,0.012095556509509315,0.18292191447004427,-0.10789966876685554,0.45067628171476454,-0.3045366197951766
Doors_4,-0.01474525322263316,0.006774891457450271,-0.010108340110284334,0.04045002100710024,-0.02046593314594182,-0.0037243400493594207,-0.0007103990208325878,0.03175229287686121,0.005251378522198893,0.027816550576524216,0.053478932363178154,-0.03167617202079849,-0.03263585948847951,-0.08674212997651494
Doors_5,0.05865872760754876,0.034316240946179195,0.04672037280470312,0.07609421936036323,-0.044354486076189026,-0.00944643677822428,-0.04816520241569118,-0.0032207001619896196,0.03694371276092563,-0.040327655976881094,-0.23639768533016645,0.13952840396727018,-0.4191750772664699,0.3913946971049862
