,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Age_08_04,-0.36928223138472277,-0.35730998319217827,-0.03896406892374354,-0.0011643749163010675,0.28760777077252536,-0.060000734770412005,0.08682421560659803,0.115759228521338,0.028984215262655287
Mfg_Month,0.05296736724237838,0.10358242431733833,0.07627016649133271,-0.07884411736997214,-0.19123051714802333,0.7175662522885116,0.45802947612532036,0.29893220122140146,0.31143666746778464
KM,-0.23575596113291974,-0.3463558639303249,0.3558715180487064,-0.08359405105369117,0.18162080298326033,0.10678813676014942,-0.11465976323012605,0.1955588597712427,0.046043349893680835
HP,0.20399456008571154,-0.12988882649935965,-0.17310725836162305,0.3460638703927569,-0.10279043460666164,-0.31874751885482316,0.6376669869193993,-0.03634509765837557,-0.059962564760989476
Met_Color,0.12079298703377557,-0.035377518548205825,-0.0634085390567119,0.47172053587262736,0.2295752107129405,0.4830492736964404,-0.23045915378896553,0.049512193157189674,-0.4652515646661387
cc,0.14529670800755184,-0.22051620328165317,0.5517979509303762,0.1635260481178919,-0.24281222132656405,-0.11971681804791803,0.21973674726328252,0.02805233124857793,-0.22500983594007815
Quarterly_Tax,0.18365445187692037,-0.02310800793620324,0.6237925887293848,0.037599974150725725,0.02185318120382901,-0.07258477747460407,-0.11019344307181603,0.029136148029644083,-0.05701129924117282
Mfr_Guarantee,0.11327455015297934,0.21282060780378886,-0.08637049442019058,0.4131026584484181,0.33049712773093226,-0.19643124790013725,0.0017053070255865638,0.6150788439490406,0.031842395205041105
Airbag_2,0.21856695461479236,0.3349575275923907,0.22691412147745238,-0.05522046477294257,0.3860290269938484,-0.04624030841719459,-0.027445932334676654,-0.022913674120357275,0.33180269315321553
Airco,0.3819322482044001,-0.1699358283621601,0.013687083525285353,-0.05684018383977073,-0.046251297953511156,0.026156467976136355,-0.011850686638385954,-0.00018949883936268674,0.11885212900998601
Boardcomputer,0.32457090088576285,0.36070875890859666,0.04299760999353917,0.04611842437943667,-0.21794705530700287,-0.027831683859186163,-0.2463678536994985,-0.10435087962561837,0.015207877707727524
Central_Lock,0.3766986209095721,-0.34139379041143225,-0.16089279318464528,-0.12596452784356474,0.05945125151247851,0.107617391536289,-0.09017873493775377,-0.041950634409043064,-0.09748932961085735
Powered_Windows,0.3786452935900617,-0.3285168215638441,-0.18890216631963655,-0.12711411279159274,0.06302238605069266,0.11138796716716215,-0.08271521931289036,-0.04025637296793726,-0.06915493135804429
Mistlamps,0.29991292111963946,-0.23950595397223182,-0.056927584720937376,-0.20366487604569425,0.24100758806454625,-0.160563104208801,-0.02630843081349097,0.2077483379350255,0.3373898285856108
Sport_Model,0.06303415748426569,0.19621580752211887,0.102828817319067,-0.21929030798540217,0.5856903330607256,0.09568807545421032,0.40642426179424684,-0.40337662688688847,-0.27506625582808963
Tow_Bar,-0.05641876610246477,-0.1937495873373249,0.045432819473159844,0.5618770226851388,0.0922474794045886,0.12020801173821281,-0.08322067821716053,-0.5045781719371443,0.5448567668357077
